No;Instansi;Formasi;Pendaftar;Submit;MS;TMS
1;Arsip Nasional Republik Indonesia;99;4628;3758;3227;531
2;Badan Informasi Geospasial;82;1208;1009;867;142
3;Badan Intelijen Negara;600;14102;7514;4428;3086
4;Badan Karantina Indonesia;525;7478;7031;6519;512
5;Badan Keamanan Laut RI;397;2695;1365;860;497
6;Badan Kepegawaian Negara;529;3941;2785;1774;1007
7;Badan Kependudukan dan Keluarga Berencana Nasional;1206;39790;36373;27685;8688
8;Badan Meteorologi, Klimatologi dan Geofisika;250;3907;3440;3075;365
9;Badan Narkotika Nasional;32;1224;376;261;115
10;Badan Nasional Penanggulangan Bencana;100;2971;2493;1532;961
11;Badan Nasional Penanggulangan Terorisme;194;1010;941;719;214
12;Badan Nasional Pencarian dan Pertolongan;1389;11135;8628;6711;1917
13;Badan Pangan Nasional;152;6457;5937;5525;412
14;Badan Pelindungan Pekerja Migran Indonesia;400;3196;2708;1853;855
15;Badan Pembinaan Ideologi Pancasila;53;886;769;676;93
16;Badan Pemeriksa Keuangan;154;19565;18475;15780;2695
17;Badan Pengawas Obat dan Makanan;781;28363;26787;21301;5486
18;Badan Pengawas Pemilihan Umum;1984;24473;22847;19898;2949
19;Badan Pengawasan Keuangan dan Pembangunan;831;35278;33653;31298;2355
20;Badan Pusat Statistik;408;8292;7851;6835;1015
21;Badan Riset dan Inovasi Nasional;500;485;334;50;29
22;Badan Siber dan Sandi Negara;141;2980;2638;2013;625
23;Kejaksaan Agung;9694;80749;59874;49160;10704
24;Kementerian Agama;20772;411194;386540;319254;67286
25;Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional;1336;23699;22822;19045;3777
26;Kementerian Dalam Negeri;326;7928;6947;5635;1312
27;Kementerian Energi dan Sumber Daya Mineral;794;14331;11696;8281;1906
28;Kementerian Hukum dan Hak Asasi Manusia;9070;567552;491651;440532;51119
29;Kementerian Investasi/Badan Koordinasi Penanaman Modal;110;1990;1730;1495;234
30;Kementerian Kelautan dan Perikanan;300;16554;14007;11823;2184
31;Kementerian Kesehatan;8607;106793;88799;47056;13908
32;Kementerian Ketenagakerjaan;1109;18938;16084;14402;1682
33;Kementerian Keuangan;1230;39027;34818;30947;3871
34;Kementerian Komunikasi dan Informatika;4215;87246;75162;62343;12810
35;Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan;65;385;133;0;0
36;Kementerian Koordinator Bidang Perekonomian;75;3286;2731;2336;395
37;Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan;86;1459;1287;1195;92
38;Kementerian Koperasi dan Usaha Kecil dan Menengah;139;9650;8382;4129;1084
39;Kementerian Lingkungan Hidup dan Kehutanan;3066;44362;37976;23050;5012
40;Kementerian Luar Negeri;100;4169;3703;2612;1091
41;Kementerian Pariwisata dan Ekonomi Kreatif/Badan Pariwisata dan Ekonomi Kreatif;392;18953;16361;13000;3361
42;Kementerian Pekerjaan Umum dan Perumahan Rakyat;6388;31486;29414;26435;2978
43;Kementerian Pemberdayaan Perempuan dan Perlindungan Anak;74;4518;3725;1972;1316
44;Kementerian Pemuda dan Olahraga;53;5267;4217;2697;1520
45;Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi;61;474;401;256;145
46;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;12843;88185;77796;67354;10442
47;Kementerian Perdagangan;309;6069;5285;2556;2729
48;Kementerian Perencanaan Pembangunan Nasional/Bappenas;751;26712;25203;19006;3810
49;Kementerian Perhubungan;1391;33346;23889;13750;10139
50;Kementerian Perindustrian;971;14949;12853;10304;2434
51;Kementerian Pertahanan;6566;43440;36253;29625;6628
52;Kementerian Pertanian;1212;34014;29885;25846;4039
53;Kementerian Sekretariat Negara;426;8323;7693;6777;916
54;Kementerian Sosial;683;7625;6641;5079;1561
55;Komisi Pemberantasan Korupsi;230;3967;1619;734;885
56;Lembaga Administrasi Negara;114;2432;2032;1742;282
57;Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah;78;2231;1976;1541;435
58;Lembaga Perlindungan Saksi dan Korban;176;6331;5845;4783;995
